Date,Mortgage_Rate,AL,AL_monthly,GDP,CPI,Treasury,Credit_Availability,Corp_debt,unemployment,BusinessConfidenceIndex,Regimes,usedauto,retailauto,luxury,MultiFamilyPermits,SingleFamilyPermits,HPI,mhi
1989-10-01,9.82,2.033693162234395,24.58638135016333,5747.237,125.4,0.07,3883.0,2952994.0,5.3,98.47801,2.0,13047.75286835915,6.17,222.24716991685577,388.4474341405887,178.39655858718316,71.14,31150.5
1989-11-01,9.74,2.047494317005637,24.75477832480589,5789.058333333333,125.9,0.09,4157.666666666667,2985982.0,5.4,98.57809,2.0,12717.97009911722,6.074,227.5046379832382,335.467379498023,182.97624284904202,71.16333333333333,31215.0
1989-12-01,9.78,2.0405736794944747,24.67033515422865,5830.879666666667,126.3,0.06,4432.333333333333,3018970.0,5.4,98.68725,2.0,13156.998650250773,6.438,229.67873352065345,364.34741538720925,189.81980669780947,71.18666666666667,31279.5
1990-01-01,10.05,1.9948938570407029,24.112964909100487,5872.701,127.5,0.15,4707.0,3051958.0,5.4,98.82642,3.0,15639.735915396788,7.786,219.5698880007349,411.22786302851375,162.57146858362265,71.21,31344.0
1990-02-01,10.31,1.9525497478209108,23.596305706248422,5901.81,128.0,0.08,3222.666666666667,3082556.6666666665,5.3,99.03892,1.0,14723.281713686603,6.881,213.9189632380721,412.6081445363045,178.4590006392683,71.47,31408.5
1990-03-01,10.22,1.967029751781605,23.772980585582705,5930.919,128.6,0.01,1738.3333333333337,3113155.333333333,5.2,99.20686,1.0,14373.65250110958,6.884,225.73783032795305,414.25178436655017,181.13419510647566,71.72999999999999,31473.0
1990-04-01,10.56,1.913283493673572,23.117223042675025,5960.028,128.9,0.08,254.0,3143754.0,5.4,99.2597,1.0,14492.418460535862,6.866,240.28547015640024,466.007972417372,190.71054715347023,71.99,31537.5
1990-05-01,10.33,1.94935706315764,23.557351176581992,5978.390666666667,129.1,0.1,614.3333333333333,3173607.0,5.4,99.18343,1.0,14047.10790161239,6.692,232.72298788228625,469.1485952228481,189.0359812019723,72.15666666666667,31602.0
1990-06-01,10.15,1.978421158136696,23.911972222262147,5996.753333333333,129.9,0.19,974.6666666666666,3203460.0,5.2,98.98992,1.0,14839.192028716834,6.748,213.00532062994225,417.7598837112917,174.9814364863703,72.32333333333332,31666.5
1990-07-01,9.98,2.00656632301313,24.255388192253854,6015.116,130.5,0.45,1335.0,3233313.0,5.5,98.68245,1.0,13760.88558688583,6.779,221.16981888056395,403.43170309663014,174.11290044040763,72.49,31731.0
1990-08-01,10.24,1.9637959152915327,23.73352335113889,6011.655,131.6,0.79,1164.6666666666667,3277148.6666666665,5.7,98.3827,1.0,13349.77998991723,6.877,227.12543072585623,395.0203032791695,213.29352140684753,72.62333333333333,31795.5
1990-09-01,10.22,1.967029751781605,23.772980585582705,6008.194,132.5,0.8,994.3333333333331,3320984.333333333,5.9,98.06229,1.0,12470.651309069011,7.408,254.3516043132661,383.8372384409523,207.0756772331792,72.75666666666666,31860.0
1990-10-01,10.17,1.9751548364269007,23.87211824287653,6004.733,133.4,0.88,824.0,3364820.0,5.9,97.7317,1.0,11822.373491088794,6.928,256.4549394370617,415.96554100335527,199.11124034604785,72.89,31924.5
1990-11-01,9.9,2.020051288710045,24.41992745999804,6014.881333333334,133.7,0.73,1644.0,3398276.333333333,6.2,97.40628,1.0,12774.323287029509,6.367,259.6348183632814,441.7138564900768,213.59881058517792,73.01,31989.0
1990-12-01,9.68,2.057951162825012,24.882368599616157,6025.029666666666,134.2,0.93,2464.0,3431732.6666666665,6.3,97.14877,1.0,13894.250699618471,6.547,306.238281325278,452.91504232881266,180.1231147695521,73.13,32053.5
1991-01-01,9.61,2.070267152653901,25.03264244117748,6035.178,134.7,0.98,3284.0,3465189.0,6.4,96.97387,1.0,16321.704392664124,5.981,276.0766689383939,496.7143682868559,216.25286378456946,73.25,32118.0
1991-02-01,9.29,2.128210439447988,25.739614675631703,6065.739333333333,134.8,0.98,3681.6666666666665,3489455.333333333,6.6,96.99493,1.0,14913.867231834998,6.158,252.38686821321656,500.8490700339016,232.77187116002676,73.63666666666667,32182.5
1991-03-01,9.52,2.086288659596392,25.228127122198376,6096.300666666667,134.8,1.03,4079.3333333333335,3513721.6666666665,6.8,97.24443,1.0,15327.94324100913,6.319,273.3359885856467,481.6344428654179,231.80455520789994,74.02333333333333,32247.0
1991-04-01,9.53,2.084498023512612,25.20627900955163,6126.862,135.1,1.22,4477.0,3537988.0,6.7,97.69718,1.0,14495.622683329682,5.724,283.13533700465985,468.88364538730366,237.39228982193055,74.41,32311.5
1991-05-01,9.45,2.09889713745024,25.38196596428764,6153.220333333334,135.6,1.38,3292.333333333333,3580426.333333333,6.9,98.30886,1.0,14198.216965634045,6.104,260.2577713498139,437.9995505005103,269.25595284156134,74.57,32376.0
1991-06-01,9.67,2.059702885620275,24.903742357794457,6179.578666666666,136.0,1.34,2107.6666666666665,3622864.6666666665,6.9,99.02848,1.0,15131.91780605538,6.277,237.05732552155112,399.6023167219258,273.4318495448704,74.73,32440.5
1991-07-01,9.5,2.08987783795524,25.271919696160413,6205.937,136.2,1.39,923.0,3665303.0,6.8,99.56333,1.0,13947.141698421843,6.463,251.74735163222832,356.66154363526084,249.66956428625124,74.89,32505.0
1991-08-01,9.15,2.154436724357542,26.059584932146265,6225.471333333333,136.6,1.46,970.0,3710768.0,6.9,99.94424,1.0,13598.83255223057,6.167,258.5803744408187,376.88614738838334,244.7856231661735,75.25333333333333,32569.5
1991-09-01,8.92,2.1987324685122966,26.599970146817565,6245.005666666667,137.0,1.48,1017.0,3756233.0,6.9,100.0572,1.0,12530.519571358498,6.204,267.7192990617739,413.6615961790978,209.77825594193504,75.61666666666667,32634.0
1991-10-01,8.91,2.200693326334044,26.623890284255275,6264.54,137.2,1.77,1064.0,3801698.0,7.0,99.77213,2.0,11857.987292721053,6.019,267.0016786433776,448.305104842749,199.81471316314293,75.98,32698.5
1991-11-01,8.7,2.2425640249241185,27.134632131250022,6297.394,137.8,2.0,2668.666666666667,3828228.0,7.0,99.27264,2.0,12283.783780077154,6.228,265.7014310365587,504.68743222691364,237.91405033508204,76.43333333333334,32763.0
1991-12-01,8.35,2.315398395394257,28.022905146429164,6330.248,138.2,1.94,4273.333333333334,3854758.0,7.3,98.94275,1.0,13499.72198680123,5.998,286.1551065590495,482.3776499247217,179.06155525615947,76.88666666666667,32827.5
1992-01-01,8.68,2.246621757602243,27.184125273644607,6363.102,138.3,2.2,5878.0,3881288.0,7.3,99.06855,2.0,1744.0,6.095,282.1019546416758,471.44420294131334,183.89733207472858,77.34,32892.0
1992-02-01,8.83,2.216487233003252,26.8165526561218,6398.989,138.6,2.0,6581.333333333333,3915744.0,7.4,99.57008,2.0,1990.0,6.242,254.6248946771792,446.9692800731943,203.7039487416487,77.82000000000001,32956.5
1992-03-01,8.98,2.187029163209296,26.457201254607043,6434.876,139.1,1.94,7284.666666666667,3950200.0,7.4,99.98627,1.0,2177.0,6.164,269.8197458999769,412.9604684141244,199.4638554117565,78.3,33021.0
1992-04-01,8.85,2.212520834966696,26.768169225355965,6470.763,139.4,2.15,7988.0,3984656.0,7.4,100.1696,1.0,2601.0,5.966,283.8547768853393,468.9308779250375,214.03015229783782,78.78,33085.5
1992-05-01,8.6,2.262976976128832,27.38360722629024,6502.722333333333,139.7,2.14,10274.333333333334,4011311.0,7.6,100.2912,5.0,2171.0,6.275,269.24492491592434,528.6059934717016,231.26533049227618,79.37666666666667,33150.0
1992-06-01,8.43,2.298403821204516,27.81566397655454,6534.681666666666,140.1,2.31,12560.666666666668,4037966.0,7.8,100.2138,5.0,2207.0,6.51,259.4424869545128,520.0201254652886,256.27687266474237,79.97333333333333,33214.5
1992-07-01,8.05,2.381037560682516,28.823206414663005,6566.641,140.5,2.3,14847.0,4064621.0,7.7,100.0575,5.0,2251.0,6.379,252.86201189172905,533.5728894762478,263.9584878811241,80.57,33279.0
1992-08-01,8.01,2.390023632446656,28.932749963158432,6604.695,140.8,2.47,8977.666666666668,4102083.6666666665,7.6,99.81163,5.0,2087.0,6.058,255.29868424287136,513.133621903097,270.37893024969065,80.98333333333333,33343.5
1992-09-01,8.02,2.3877718354888238,28.905300166573905,6642.749,141.1,2.57,3108.333333333334,4139546.3333333335,7.6,99.55763,5.0,2016.0,6.325,267.6458443416523,467.84163293144957,245.0999763782072,81.39666666666666,33408.0
1992-10-01,8.21,2.3456493605077453,28.39176662653862,6680.803,141.7,2.4,-2761.0,4177009.0,7.3,99.6041,5.0,2149.0,6.392,296.6738390054465,468.6896027276891,273.76343293518386,81.81,33472.5
1992-11-01,8.29,2.328282810372881,28.18001539856108,6697.0216666666665,142.1,2.16,1581.666666666667,4194866.0,7.4,99.92116,5.0,1667.0,6.284,291.64843288474407,457.53279437531745,275.19357049264096,82.28333333333333,33537.0
