Date,Mortgage_Rate,AL,AL_monthly,GDP,CPI,Treasury,Credit_Availability,Corp_debt,unemployment,BusinessConfidenceIndex,Regimes,usedauto,retailauto,luxury,MultiFamilyPermits,SingleFamilyPermits,HPI,mhi
1978-01-01,9.05,2.1735080972142966,26.292252458155595,2202.76,62.7,0.47,0.0,737951.0,6.4,100.8892,5.0,6330.573486670212,8.044,175.08349497316829,0.0,0.0,39.94,47371.27710712225
1978-02-01,9.15,2.154436724357542,26.059584932146265,2245.717666666667,63.0,0.47,0.0,741642.0,6.3,100.7193,5.0,5882.636190439527,8.543,178.8569468277607,1083.0990253151738,469.71363096977467,40.526666666666664,47334.48260252485
1978-03-01,9.25,2.1356479957808245,25.830357077913703,2288.675333333333,63.4,0.45,0.0,745333.0,6.3,100.7135,5.0,5814.550069215402,8.96,181.6474657829604,567.334524940453,603.5486717117851,41.11333333333334,47338.962001227446
1978-04-01,9.43,2.102523504638374,25.426211671225293,2331.633,63.9,0.27,0.0,749024.0,6.1,100.9957,5.0,6077.323549241179,9.751,179.6671104200338,464.2910830880692,511.37026760826814,41.7,47335.59250896787
1978-05-01,9.68,2.057951162825012,24.882368599616157,2352.773,64.5,0.3,0.0,756530.6666666666,6.0,101.3697,5.0,6081.236114222492,9.788,172.36575708808618,407.8139847398949,575.6920795604661,42.300000000000004,47341.78454815284
1978-06-01,9.73,2.049230780650697,24.77596600609472,2373.913,65.0,0.14,0.0,764037.3333333334,5.9,101.6347,5.0,6172.708187005943,9.742,176.10675785077174,376.810174956307,585.124220926154,42.9,47335.70155911585
1978-07-01,9.75,2.0457603798160795,24.733621455868,2395.053,65.5,0.09,0.0,771544.0,6.2,101.7659,1.0,5943.493622106113,9.091,184.6282786294937,494.91258683803443,586.0105473747683,43.5,47342.8370951391
1978-08-01,9.8,2.0371284246820904,24.6282973072798,2422.3516666666665,65.9,-0.07,0.0,777431.6666666666,5.9,101.7152,1.0,6062.59905002226,9.571,186.00739186514255,450.45398788523477,527.7317817028289,44.06666666666667,47337.26937731052
1978-09-01,9.78,2.0405736794944747,24.67033515422865,2449.650333333333,66.5,-0.14,0.0,783319.3333333334,6.0,101.6572,1.0,5673.062395106064,8.725,184.56729625998284,424.5134240111103,518.8049284961263,44.63333333333333,47344.02199189315
1978-10-01,9.88,2.023446954980689,24.4613603330834,2476.949,67.1,-0.53,0.0,789207.0,5.8,101.6183,4.0,5602.783696812387,9.38,187.95063259791024,440.8065468327672,498.73097490778304,45.2,47338.69139650567
1978-11-01,10.28,1.957355820976437,23.65494575263253,2493.5026666666668,67.5,-0.69,0.0,791735.3333333334,5.9,101.58,2.0,5940.429373957861,9.132,184.914821048755,518.3046092724611,457.20750006161245,46.120000000000005,47345.25903182524
