,1,2,MostLikelyRegime
2001-10-31,0.0,1.0,2.0
2001-11-30,0.0,1.0,2.0
2001-12-31,5.158494878865911e-202,1.0,2.0
2002-01-31,7.872943077127547e-34,1.0,2.0
2002-02-28,1.6782943343529659e-43,1.0,2.0
2002-03-31,7.237205053770623e-55,1.0,2.0
2002-04-30,1.0,5.494879104504607e-97,1.0
2002-05-31,1.0,4.9756982568788935e-148,1.0
2002-06-30,1.0,7.156405987720582e-214,1.0
2002-07-31,1.6929665899398592e-265,1.0,2.0
2002-08-31,9.660587661756052e-246,1.0,2.0
2002-09-30,2.0875596461050884e-226,1.0,2.0
2002-10-31,3.5727989438575167e-209,1.0,2.0
2002-11-30,7.073670145643044e-188,1.0,2.0
2002-12-31,7.657234971620807e-168,1.0,2.0
2003-01-31,3.814080893427907e-149,1.0,2.0
2003-02-28,1.229177825687509e-169,1.0,2.0
2003-03-31,4.857821916063989e-192,1.0,2.0
2003-04-30,8.625169777054515e-216,1.0,2.0
2003-05-31,3.769247655412757e-240,1.0,2.0
2003-06-30,1.0423857243461063e-266,1.0,2.0
2003-07-31,1.1411686002988452e-294,1.0,2.0
2003-08-31,1.3877741520229192e-188,1.0,2.0
2003-09-30,1.412261195060054e-107,1.0,2.0
2003-10-31,1.2444119791473569e-50,1.0,2.0
2003-11-30,9.93793412305643e-189,1.0,2.0
2003-12-31,0.0,1.0,2.0
2004-01-31,0.0,1.0,2.0
2004-02-29,0.0,1.0,2.0
2004-03-31,0.0,1.0,2.0
2004-04-30,0.0,1.0,2.0
2004-05-31,0.0,1.0,2.0
2004-06-30,0.0,1.0,2.0
2004-07-31,0.0,1.0,2.0
2004-08-31,1.0,0.0,1.0
2004-09-30,1.0,0.0,1.0
2004-10-31,1.0,3.655419189057301e-277,1.0
2004-11-30,1.0,0.0,1.0
2004-12-31,0.0,1.0,2.0
2005-01-31,0.0,1.0,2.0
2005-02-28,0.0,1.0,2.0
2005-03-31,0.0,1.0,2.0
2005-04-30,0.0,1.0,2.0
2005-05-31,0.0,1.0,2.0
2005-06-30,0.0,1.0,2.0
2005-07-31,0.0,1.0,2.0
2005-08-31,0.0,1.0,2.0
2005-09-30,0.0,1.0,2.0
2005-10-31,0.0,1.0,2.0
2005-11-30,0.0,1.0,2.0
2005-12-31,0.0,1.0,2.0
2006-01-31,0.0,1.0,2.0
2006-02-28,0.0,1.0,2.0
2006-03-31,0.0,1.0,2.0
2006-04-30,1.0,0.0,1.0
2006-05-31,1.0,0.0,1.0
2006-06-30,1.0,0.0,1.0
2006-07-31,0.0,1.0,2.0
2006-08-31,0.0,1.0,2.0
2006-09-30,0.0,1.0,2.0
2006-10-31,0.0,1.0,2.0
2006-11-30,0.0,1.0,2.0
2006-12-31,0.0,1.0,2.0
2007-01-31,0.0,1.0,2.0
2007-02-28,0.0,1.0,2.0
2007-03-31,0.0,1.0,2.0
2007-04-30,0.0,1.0,2.0
2007-05-31,0.0,1.0,2.0
2007-06-30,0.0,1.0,2.0
2007-07-31,0.0,1.0,2.0
2007-08-31,0.0,1.0,2.0
2007-09-30,0.0,1.0,2.0
2007-10-31,3.1651800547512132e-139,1.0,2.0
2007-11-30,1.1772354782297944e-22,1.0,2.0
2007-12-31,1.6940762726261078e-27,1.0,2.0
2008-01-31,2.464770629389408e-154,1.0,2.0
2008-02-29,8.957430956538374e-62,1.0,2.0
2008-03-31,8.190097234361198e-17,1.0,2.0
2008-04-30,5.653165838571831e-16,1.0,2.0
2008-05-31,3.5920863325093603e-12,0.999999999996362,2.0
2008-06-30,8.058387919855774e-38,1.0,2.0
2008-07-31,1.4934068437967509e-95,1.0,2.0
2008-08-31,8.779087213784382e-114,1.0,2.0
2008-09-30,2.9050387770594837e-134,1.0,2.0
2008-10-31,1.3912675828258267e-155,1.0,2.0
2008-11-30,3.9148552327325854e-156,1.0,2.0
2008-12-31,5.09096194858953e-157,1.0,2.0
2009-01-31,3.6023149416043314e-158,1.0,2.0
2009-02-28,4.112717811111329e-139,1.0,2.0
2009-03-31,3.0776146670296374e-121,1.0,2.0
2009-04-30,2.5845974562831054e-105,1.0,2.0
2009-05-31,2.1681017806598364e-104,1.0,2.0
2009-06-30,3.527584700038994e-102,1.0,2.0
2009-07-31,5.115082062283609e-101,1.0,2.0
2009-08-31,8.400307466603564e-82,1.0,2.0
2009-09-30,2.001473611126345e-64,1.0,2.0
2009-10-31,2.4191589814037563e-50,1.0,2.0
2009-11-30,1.7689031065009422e-63,1.0,2.0
2009-12-31,1.563509930679748e-75,1.0,2.0
2010-01-31,1.201379327634101e-90,1.0,2.0
2010-02-28,6.410854707690721e-89,1.0,2.0
2010-03-31,1.0,2.4316518887405776e-98,1.0
2010-04-30,1.0,1.688411411694638e-96,1.0
2010-05-31,1.0,6.420821806455798e-134,1.0
2010-06-30,1.0,4.8928701940212507e-178,1.0
2010-07-31,1.0,2.80746445602905e-230,1.0
2010-08-31,1.0,1.004485568598616e-165,1.0
2010-09-30,1.0,1.2684542912989994e-113,1.0
2010-10-31,1.0,2.4659595358207264e-74,1.0
2010-11-30,1.0,8.050396636931325e-85,1.0
2010-12-31,1.0,1.60851732388388e-95,1.0
2011-01-31,1.0,3.0629841012954025e-109,1.0
2011-02-28,1.0,1.1719901719910966e-162,1.0
2011-03-31,1.0,1.3086627131156055e-230,1.0
